Date,Time,Character Name,Race,Ork Leader,Trolls Killed,Orks Killed,Miles Walked,Wingwraith Seen, Songs Sung, Dinner, Drink, data point, injured name , injured race, money, data
1/1/2015,17:53:39,Frodo Baggins,Hobbit,Murgash,10,9,4,4,2,Lembas,Limpë,Point 000001,Legolas,Elf,85.0,1
1/1/2015,14:26:35,Samwise "Sam" Gamgee,Hobbit,Lurtz,6,7,4,3,4,Honey-cake,Miruvor,Point 000002,Legolas,Elf,6.01,2
1/1/2015,16:54:50,Gandalf the Grey,Human,Guritz,14,4,4,2,2,Honey-cake,Ent-draught,Point 000003,Legolas,Elf,41.66,3
1/1/2015,6:59:47,Legolas,Elf,Lugdush,9,2,4,8,2,Lembas,Ent-draught,Point 000004,Legolas,Elf,91.56,4
1/1/2015,2:23:43,Gimli,Dwarf,Snaga,12,9,4,4,3,Cram,Limpë,Point 000005,Legolas,Elf,69.41,5
1/1/2015,18:36:46,Aragorn (Strider),Human,Lugdush,0,4,4,2,7,Lembas,Miruvor,Point 000006,Legolas,Elf,73.12,6
1/1/2015,5:5:5,Boromir, Human,Guritz,12,12,4,4,1,Petty-dwarf roots,Ent-draught,Point 000007,Legolas,Elf,80.66,7
1/1/2015,6:18:1,Meriadoc "Merry" Brandybuck,Hobbit,Lurtz,7,7,4,0,1,Petty-dwarf roots,Ent-draught,Point 000008,Legolas,Elf,24.4,8
1/1/2015,12:31:43,Peregrin "Pippin" Took,Hobbit,Guritz,1,10,4,8,4,Honey-cake,Miruvor,Point 000009,Legolas,Elf,89.95,9
1/2/2015,7:19:59,Frodo Baggins,Hobbit,Sharku,11,5,2,4,3,Petty-dwarf roots,Limpë,Point 000010,Aragorn (Strider),Human,55.75,10
1/2/2015,3:45:51,Samwise "Sam" Gamgee,Hobbit,Snaga,5,6,2,3,0,Petty-dwarf roots,Limpë,Point 000011,Aragorn (Strider),Human,41.14,11
1/2/2015,22:0:4,Gandalf the Grey,Human,Lurtz,11,7,2,4,3,Lembas,Miruvor,Point 000012,Aragorn (Strider),Human,9.41,12
1/2/2015,18:28:54,Legolas,Elf,Sharku,2,14,2,0,9,Petty-dwarf roots,Miruvor,Point 000013,Aragorn (Strider),Human,47.41,13
1/2/2015,17:9:16,Gimli,Dwarf,Lurtz,6,14,2,1,9,Lembas,Limpë,Point 000014,Aragorn (Strider),Human,39.97,14
1/2/2015,6:35:26,Aragorn (Strider),Human,Shagrat,7,2,2,0,8,Petty-dwarf roots,Miruvor,Point 000015,Aragorn (Strider),Human,0.33,15
1/2/2015,4:19:10,Boromir, Human,Mauhúr,10,0,2,2,4,Honey-cake,Miruvor,Point 000016,Aragorn (Strider),Human,91.29,16
1/2/2015,6:30:24,Meriadoc "Merry" Brandybuck,Hobbit,Snaga,14,10,2,5,9,Petty-dwarf roots,Miruvor,Point 000017,Aragorn (Strider),Human,26.59,17
1/2/2015,7:11:56,Peregrin "Pippin" Took,Hobbit,Lugdush,6,14,2,5,7,Honey-cake,Miruvor,Point 000018,Aragorn (Strider),Human,30.17,18
1/3/2015,18:3:19,Frodo Baggins,Hobbit,Sharku,8,5,2,1,3,Petty-dwarf roots,Miruvor,Point 000019,Samwise "Sam" Gamgee,Hobbit,28.88,19
1/3/2015,4:24:44,Samwise "Sam" Gamgee,Hobbit,Mauhúr,5,13,2,5,4,Petty-dwarf roots,Limpë,Point 000020,Samwise "Sam" Gamgee,Hobbit,13.4,20
1/3/2015,10:4:16,Gandalf the Grey,Human,Snaga,3,12,2,7,6,Lembas,Miruvor,Point 000021,Samwise "Sam" Gamgee,Hobbit,99.23,21
1/3/2015,13:46:43,Legolas,Elf,Snaga,11,6,2,4,6,Honey-cake,Ent-draught,Point 000022,Samwise "Sam" Gamgee,Hobbit,90.42,22
1/3/2015,10:36:54,Gimli,Dwarf,Guritz,8,10,2,8,2,Lembas,Ent-draught,Point 000023,Samwise "Sam" Gamgee,Hobbit,16.08,23
1/3/2015,20:37:49,Aragorn (Strider),Human,Grishnákh,0,7,2,5,9,Honey-cake,Miruvor,Point 000024,Samwise "Sam" Gamgee,Hobbit,49.71,24
1/3/2015,16:57:1,Boromir, Human,Gothmog,6,14,2,8,1,Cram,Limpë,Point 000025,Samwise "Sam" Gamgee,Hobbit,76.19,25
1/3/2015,14:38:4,Meriadoc "Merry" Brandybuck,Hobbit,Grishnákh,3,5,2,0,8,Cram,Ent-draught,Point 000026,Samwise "Sam" Gamgee,Hobbit,35.04,26
1/3/2015,14:54:17,Peregrin "Pippin" Took,Hobbit,Sharku,12,1,2,1,4,Cram,Limpë,Point 000027,Samwise "Sam" Gamgee,Hobbit,71.83,27
1/4/2015,0:4:54,Frodo Baggins,Hobbit,Murgash,14,13,5,0,3,Honey-cake,Limpë,Point 000028,Boromir, Human,59.95,28
1/4/2015,2:46:59,Samwise "Sam" Gamgee,Hobbit,Shagrat,13,10,5,4,3,Lembas,Ent-draught,Point 000029,Boromir, Human,10.06,29
1/4/2015,0:43:50,Gandalf the Grey,Human,Shagrat,7,0,5,8,7,Honey-cake,Ent-draught,Point 000030,Boromir, Human,30.93,30
1/4/2015,4:21:59,Legolas,Elf,Shagrat,4,8,5,5,8,Lembas,Ent-draught,Point 000031,Boromir, Human,71.12,31
1/4/2015,14:53:33,Gimli,Dwarf,Mauhúr,4,13,5,5,5,Cram,Ent-draught,Point 000032,Boromir, Human,44.29,32
1/4/2015,1:7:19,Aragorn (Strider),Human,Murgash,5,4,5,4,1,Petty-dwarf roots,Ent-draught,Point 000033,Boromir, Human,9.95,33
1/4/2015,13:56:5,Boromir, Human,Grishnákh,1,5,5,0,6,Honey-cake,Limpë,Point 000034,Boromir, Human,92.09,34
1/4/2015,15:59:47,Meriadoc "Merry" Brandybuck,Hobbit,Lurtz,11,3,5,7,5,Cram,Ent-draught,Point 000035,Boromir, Human,25.85,35
1/4/2015,4:38:22,Peregrin "Pippin" Took,Hobbit,Shagrat,6,11,5,2,8,Petty-dwarf roots,Miruvor,Point 000036,Boromir, Human,10.9,36
1/5/2015,10:17:10,Frodo Baggins,Hobbit,Lurtz,10,0,3,6,5,Petty-dwarf roots,Limpë,Point 000037,Samwise "Sam" Gamgee,Hobbit,65.69,37
1/5/2015,0:35:36,Samwise "Sam" Gamgee,Hobbit,Gothmog,11,8,3,5,3,Petty-dwarf roots,Limpë,Point 000038,Samwise "Sam" Gamgee,Hobbit,99.78,38
1/5/2015,5:13:30,Gandalf the Grey,Human,Gorbag,12,7,3,1,3,Cram,Limpë,Point 000039,Samwise "Sam" Gamgee,Hobbit,16.26,39
1/5/2015,21:1:40,Legolas,Elf,Mauhúr,4,0,3,5,9,Honey-cake,Limpë,Point 000040,Samwise "Sam" Gamgee,Hobbit,60.83,40
1/5/2015,1:52:42,Gimli,Dwarf,Snaga,5,12,3,0,2,Lembas,Miruvor,Point 000041,Samwise "Sam" Gamgee,Hobbit,82.56,41
1/5/2015,8:40:7,Aragorn (Strider),Human,Guritz,10,14,3,1,5,Honey-cake,Ent-draught,Point 000042,Samwise "Sam" Gamgee,Hobbit,83.39,42
1/5/2015,9:19:54,Boromir, Human,Lugdush,0,5,3,8,9,Petty-dwarf roots,Limpë,Point 000043,Samwise "Sam" Gamgee,Hobbit,63.77,43
1/5/2015,11:52:16,Meriadoc "Merry" Brandybuck,Hobbit,Shagrat,13,6,3,8,9,Petty-dwarf roots,Miruvor,Point 000044,Samwise "Sam" Gamgee,Hobbit,51.19,44
1/5/2015,20:22:27,Peregrin "Pippin" Took,Hobbit,Sharku,5,1,3,2,1,Petty-dwarf roots,Miruvor,Point 000045,Samwise "Sam" Gamgee,Hobbit,37.88,45
1/6/2015,17:57:33,Frodo Baggins,Hobbit,Shagrat,13,0,2,3,7,Lembas,Limpë,Point 000046,Aragorn (Strider),Human,50.23,46
1/6/2015,20:51:43,Samwise "Sam" Gamgee,Hobbit,Mauhúr,9,11,2,7,9,Petty-dwarf roots,Ent-draught,Point 000047,Aragorn (Strider),Human,8.61,47
1/6/2015,14:35:22,Gandalf the Grey,Human,Guritz,11,12,2,8,3,Honey-cake,Miruvor,Point 000048,Aragorn (Strider),Human,44.94,48
1/6/2015,1:23:44,Legolas,Elf,Murgash,4,12,2,2,8,Honey-cake,Limpë,Point 000049,Aragorn (Strider),Human,90.33,49
1/6/2015,2:56:44,Gimli,Dwarf,Gorbag,0,5,2,6,6,Petty-dwarf roots,Limpë,Point 000050,Aragorn (Strider),Human,20.88,50
1/6/2015,18:3:26,Aragorn (Strider),Human,Grishnákh,14,0,2,2,2,Honey-cake,Limpë,Point 000051,Aragorn (Strider),Human,3.78,51
1/6/2015,16:58:16,Boromir, Human,Lurtz,0,7,2,4,3,Honey-cake,Miruvor,Point 000052,Aragorn (Strider),Human,83.31,52
1/6/2015,17:25:0,Meriadoc "Merry" Brandybuck,Hobbit,Grishnákh,0,3,2,0,0,Petty-dwarf roots,Miruvor,Point 000053,Aragorn (Strider),Human,78.54,53
1/6/2015,12:30:12,Peregrin "Pippin" Took,Hobbit,Lurtz,6,3,2,2,2,Honey-cake,Ent-draught,Point 000054,Aragorn (Strider),Human,64.56,54
1/7/2015,9:42:1,Frodo Baggins,Hobbit,Sharku,0,1,1,4,4,Petty-dwarf roots,Limpë,Point 000055,Meriadoc "Merry" Brandybuck,Hobbit,77.43,55
1/7/2015,19:30:24,Samwise "Sam" Gamgee,Hobbit,Lugdush,7,11,1,7,6,Lembas,Limpë,Point 000056,Meriadoc "Merry" Brandybuck,Hobbit,63.56,56
1/7/2015,2:38:32,Gandalf the Grey,Human,Grishnákh,14,5,1,8,4,Lembas,Limpë,Point 000057,Meriadoc "Merry" Brandybuck,Hobbit,42.35,57
1/7/2015,15:48:43,Legolas,Elf,Shagrat,0,13,1,1,5,Cram,Limpë,Point 000058,Meriadoc "Merry" Brandybuck,Hobbit,28.55,58
1/7/2015,15:12:23,Gimli,Dwarf,Lugdush,11,11,1,4,1,Cram,Miruvor,Point 000059,Meriadoc "Merry" Brandybuck,Hobbit,90.63,59
1/7/2015,9:17:38,Aragorn (Strider),Human,Snaga,9,0,1,3,7,Honey-cake,Limpë,Point 000060,Meriadoc "Merry" Brandybuck,Hobbit,23.08,60
1/7/2015,19:8:34,Boromir, Human,Mauhúr,13,9,1,3,4,Cram,Limpë,Point 000061,Meriadoc "Merry" Brandybuck,Hobbit,49.83,61
1/7/2015,14:10:23,Meriadoc "Merry" Brandybuck,Hobbit,Gothmog,9,10,1,7,1,Lembas,Ent-draught,Point 000062,Meriadoc "Merry" Brandybuck,Hobbit,38.97,62
1/7/2015,2:38:53,Peregrin "Pippin" Took,Hobbit,Snaga,1,4,1,7,7,Cram,Limpë,Point 000063,Meriadoc "Merry" Brandybuck,Hobbit,22.62,63
1/8/2015,13:49:41,Frodo Baggins,Hobbit,Sharku,9,1,4,5,8,Cram,Miruvor,Point 000064,Frodo Baggins,Hobbit,82.95,64
1/8/2015,9:42:20,Samwise "Sam" Gamgee,Hobbit,Gothmog,1,0,4,2,4,Lembas,Ent-draught,Point 000065,Frodo Baggins,Hobbit,10.94,65
1/8/2015,8:3:17,Gandalf the Grey,Human,Mauhúr,3,3,4,3,6,Honey-cake,Ent-draught,Point 000066,Frodo Baggins,Hobbit,95.21,66
1/8/2015,2:16:1,Legolas,Elf,Guritz,9,14,4,6,4,Cram,Miruvor,Point 000067,Frodo Baggins,Hobbit,23.63,67
1/8/2015,20:25:55,Gimli,Dwarf,Mauhúr,13,11,4,0,3,Cram,Ent-draught,Point 000068,Frodo Baggins,Hobbit,78.25,68
1/8/2015,13:43:27,Aragorn (Strider),Human,Lugdush,12,9,4,3,3,Lembas,Limpë,Point 000069,Frodo Baggins,Hobbit,99.81,69
1/8/2015,22:7:25,Boromir, Human,Shagrat,3,14,4,6,2,Cram,Miruvor,Point 000070,Frodo Baggins,Hobbit,70.66,70
1/8/2015,15:39:40,Meriadoc "Merry" Brandybuck,Hobbit,Lurtz,6,11,4,4,8,Cram,Ent-draught,Point 000071,Frodo Baggins,Hobbit,38.13,71
1/8/2015,21:49:0,Peregrin "Pippin" Took,Hobbit,Murgash,1,3,4,0,5,Honey-cake,Limpë,Point 000072,Frodo Baggins,Hobbit,20.36,72
1/9/2015,17:42:26,Frodo Baggins,Hobbit,Guritz,12,1,5,1,1,Lembas,Limpë,Point 000073,Legolas,Elf,25.07,73
1/9/2015,16:0:29,Samwise "Sam" Gamgee,Hobbit,Sharku,0,5,5,5,4,Cram,Limpë,Point 000074,Legolas,Elf,11.92,74
1/9/2015,7:24:17,Gandalf the Grey,Human,Snaga,2,10,5,6,3,Cram,Limpë,Point 000075,Legolas,Elf,65.6,75
1/9/2015,16:40:3,Legolas,Elf,Gothmog,1,0,5,6,4,Lembas,Limpë,Point 000076,Legolas,Elf,65.74,76
1/9/2015,17:49:6,Gimli,Dwarf,Mauhúr,7,12,5,6,4,Honey-cake,Ent-draught,Point 000077,Legolas,Elf,70.62,77
1/9/2015,2:21:11,Aragorn (Strider),Human,Murgash,13,11,5,0,6,Petty-dwarf roots,Ent-draught,Point 000078,Legolas,Elf,84.25,78
1/9/2015,2:4:24,Boromir, Human,Grishnákh,2,7,5,8,6,Lembas,Ent-draught,Point 000079,Legolas,Elf,43.45,79
1/9/2015,0:25:17,Meriadoc "Merry" Brandybuck,Hobbit,Grishnákh,11,10,5,8,3,Petty-dwarf roots,Ent-draught,Point 000080,Legolas,Elf,18.03,80
1/9/2015,1:44:22,Peregrin "Pippin" Took,Hobbit,Sharku,0,12,5,4,0,Honey-cake,Ent-draught,Point 000081,Legolas,Elf,24.52,81
1/10/2015,11:57:47,Frodo Baggins,Hobbit,Grishnákh,2,8,3,5,1,Lembas,Miruvor,Point 000082,Gandalf the Grey,Human,60.99,82
1/10/2015,2:2:2,Samwise "Sam" Gamgee,Hobbit,Shagrat,7,0,3,2,7,Honey-cake,Miruvor,Point 000083,Gandalf the Grey,Human,94.33,83
1/10/2015,13:22:14,Gandalf the Grey,Human,Gorbag,9,6,3,3,5,Cram,Ent-draught,Point 000084,Gandalf the Grey,Human,3.4,84
1/10/2015,16:59:13,Legolas,Elf,Lurtz,7,11,3,0,2,Petty-dwarf roots,Ent-draught,Point 000085,Gandalf the Grey,Human,62.56,85
1/10/2015,21:38:6,Gimli,Dwarf,Gorbag,9,6,3,5,5,Petty-dwarf roots,Miruvor,Point 000086,Gandalf the Grey,Human,86.95,86
1/10/2015,4:3:37,Aragorn (Strider),Human,Sharku,8,4,3,4,8,Honey-cake,Ent-draught,Point 000087,Gandalf the Grey,Human,45.77,87
1/10/2015,3:52:31,Boromir, Human,Grishnákh,0,9,3,6,6,Lembas,Miruvor,Point 000088,Gandalf the Grey,Human,31.18,88
1/10/2015,8:47:30,Meriadoc "Merry" Brandybuck,Hobbit,Mauhúr,3,8,3,1,6,Lembas,Ent-draught,Point 000089,Gandalf the Grey,Human,59.9,89
1/10/2015,22:51:16,Peregrin "Pippin" Took,Hobbit,Murgash,7,8,3,0,2,Cram,Limpë,Point 000090,Gandalf the Grey,Human,87.29,90
1/11/2015,18:57:5,Frodo Baggins,Hobbit,Gorbag,14,11,5,3,1,Honey-cake,Limpë,Point 000091,Boromir, Human,55.57,91
1/11/2015,13:41:40,Samwise "Sam" Gamgee,Hobbit,Gothmog,3,1,5,0,4,Petty-dwarf roots,Limpë,Point 000092,Boromir, Human,41.73,92
1/11/2015,3:38:54,Gandalf the Grey,Human,Grishnákh,14,4,5,6,3,Cram,Miruvor,Point 000093,Boromir, Human,34.67,93
1/11/2015,14:42:12,Legolas,Elf,Shagrat,1,2,5,3,1,Honey-cake,Miruvor,Point 000094,Boromir, Human,69.45,94
1/11/2015,4:23:14,Gimli,Dwarf,Guritz,7,6,5,6,8,Cram,Limpë,Point 000095,Boromir, Human,87.3,95
1/11/2015,2:3:15,Aragorn (Strider),Human,Guritz,10,9,5,1,6,Honey-cake,Miruvor,Point 000096,Boromir, Human,34.43,96
1/11/2015,10:28:3,Boromir, Human,Gorbag,3,5,5,4,2,Cram,Limpë,Point 000097,Boromir, Human,0.53,97
1/11/2015,1:30:38,Meriadoc "Merry" Brandybuck,Hobbit,Sharku,0,9,5,4,6,Honey-cake,Miruvor,Point 000098,Boromir, Human,72.93,98
